id,title,volume,research_position,software_lifecycle,software_type,techstack,evaluation
lni332/paper52,,lni332,product_result,implementierung;testen_qualitaetssicherung,test_automation_framework;library_package,insufficient_information,performance_evaluation
lni300/B5-01,Behavior-Driven Dynamics in Agile Development: The Effect of Fast Feedback on Teams,lni300,product_result,implementierung;testen_qualitaetssicherung;deployment_betrieb,plugin_extension,insufficient_information,empirical_study
lni1/12,Automatische Prozessmodellgenerierung mit SpearmintTM/EPG basierend auf dem Referenzmodell des ISO/IEC TR 15504 Standards,lni1,product_result,entwurf;implementierung;deployment_betrieb,full_stack_application;plugin_extension;middleware_service,visual_basic;xml_xsd,planned
lni154/cd-1450,"Mobile IT-Applikation, vernetzte Sensoren und Kommunikationskonzepte zum Schutz der Einsatzkräfte bei der Feuerwehr",lni154,product_result,implementierung;testen_qualitaetssicherung,full_stack_application;embedded_hardware;middleware_service,insufficient_information,conceptual_evaluation
lni366/Kadi_et_al,Combining Open Data and Formal Reasoning for Autonomously Controlled Spreading near Water Bodies,lni366,simulation_modellierung,entwurf;implementierung;testen_qualitaetssicherung,embedded_hardware;middleware_service;library_package,insufficient_information,planned
lni360/B6-2,Recovering Trace Links Between Software Documentation And Code,lni360,product_result,entwurf;implementierung;testen_qualitaetssicherung,library_package,java_jvm,performance_evaluation
lni31/GI-Proceedings.31-10,"Virtual PIN: Biometric Encryption Using Coding Theory Dr. Ullrich Martini, Stephan Beinlich Neue Technologien -Technologiecenter Giesecke & Devrient Prinzregentenstraße 159",lni31,proof_of_concept_product,entwurf;implementierung;testen_qualitaetssicherung,insufficient_information,insufficient_information,testing;benchmarking
lni214/185,Experimental Evaluation of NUMA Eﬀects on Database Management Systems,lni214,product_result,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,library_package,c_cpp;sql_db,testing
lni94/GI-Proceedings-94-1,Fabrik-Cockpit: Eine echtzeitfähige Planungsumgebung,lni94,product_result,anforderungen;entwurf;implementierung;deployment_betrieb,full_stack_application,insufficient_information,conceptual_evaluation
lni373/B2-1,A Unified Real-Time Spatial and Chromatic Foveated Rendering in VR,lni373,human_facing_intervention,entwurf;implementierung;testen_qualitaetssicherung,vr_application,c_cpp,testing;usability_study;empirical_study
lni51/GI-Proceedings.51-108,Automating the Development of Web Service Compositions Using Templates,lni51,product_result,entwurf;implementierung,middleware_service,insufficient_information,planned
lni176/91,Utilization of Semantic Networks for Education: On the Enhancement of Existing Learning Objects with Topic Maps in <ML>³,lni176,proof_of_concept_product,entwurf;implementierung,conceptual,xml_xsd,planned
lni55/GI-Proceedings.55-26,SIP Security,lni55,proof_of_concept_product,entwurf;implementierung;testen_qualitaetssicherung,middleware_service,c_cpp,testing
lni295/paper11_03,Averaging rewards as a Ąrst approach towards Interpolated,lni295,proof_of_concept_product,entwurf;implementierung;testen_qualitaetssicherung,numerical_mathematical,python,benchmarking;performance_evaluation
lni21/GI-Proceedings.21-2,Petri Net Markup Language: Implementation and Application,lni21,product_result,anforderungen;entwurf;implementierung;deployment_betrieb,plugin_extension;library_package,c_cpp;xml_xsd,conceptual_evaluation
lni329/23-BIOSIG_2022_paper_4,"A. Br¨omme, N. Damer, M. Gomez-Barrero, K. Raja, C. Rathgeb, A. Sequeira, M. Todisco, and A. Uhl (Eds.): BIOSIG 2022, Lecture Notes in Informatics (LNI), Gesellschaft f¨ur Informatik, Bonn 2022 Sub-byte quantization of Mobile Face Recognition Convolutional Neural Networks",lni329,proof_of_concept_product,entwurf;implementierung;testen_qualitaetssicherung,numerical_mathematical,python,benchmarking;performance_evaluation
lni338/45,cba doi: 10.18420/delfi2023-45 Semi-assisted Module Handbook Content Extraction for the Application of Curriculum Analytics,lni338,datenerhebung,entwurf;implementierung,script,insufficient_information,planned
lni48/GI.Band.48-15,Evidential Paradigm and Intelligent Mathematical Text Processing,lni48,formal_verification,entwurf;implementierung;testen_qualitaetssicherung;deployment_betrieb,numerical_mathematical;domain_specific_language,insufficient_information,testing
lni165/286,HexaGrowth: a new Grid Generation with a Local Algorithm,lni165,proof_of_concept_product,entwurf;implementierung;testen_qualitaetssicherung,numerical_mathematical,java_jvm,performance_evaluation
lni108/3,Privacy Enhancing Technology for a 3D-Face Recognition System,lni108,proof_of_concept_product,entwurf;implementierung;testen_qualitaetssicherung,numerical_mathematical,insufficient_information,benchmarking
lni177/168,Deep Business Optimization: A Platform for Automated Process Optimization,lni177,product_result,projektdefinition;anforderungen;entwurf;implementierung,full_stack_application,insufficient_information,conceptual_evaluation
lni136/189,Lightweight Comparison of RNAs Based on Exact Sequence-Structure Matches,lni136,datenanalyse,implementierung;deployment_betrieb,numerical_mathematical,insufficient_information,benchmarking;performance_evaluation
lni223/43,Secure Hardware-Based Public Cloud Storage,lni223,product_result,entwurf;implementierung,middleware_service,java_jvm,conceptual_evaluation
lni329/30-BIOSIG_2022_paper_20,"A. Br¨omme, N. Damer, M. Gomez-Barrero, K. Raja, C. Rathgeb, A. Sequeira, M. Todisco, and A. Uhl (Eds.): BIOSIG 2022, Lecture Notes in Informatics (LNI), Gesellschaft f¨ur Informatik, Bonn 2022 GAIT3: An Event-based, Visible and Thermal Database for Gait Recognition",lni329,datenanalyse,implementierung,analysis_pipeline,insufficient_information,benchmarking
lni318/swm2021-04,A Toolkit for Social Service Engineering Ein digitaler Methodenbaukasten zur systematischen und interdisziplinären Gestaltung von Interaktionsarbeit,lni318,proof_of_concept_product,projektdefinition;entwurf;implementierung,full_stack_application,python;sql_db,conceptual_evaluation;planned
lni366/Faehndrich_et_al,On-premise Multi-Modal RAG for AI aided Investigation,lni366,proof_of_concept_product,anforderungen;entwurf;implementierung;testen_qualitaetssicherung,full_stack_application,insufficient_information,conceptual_evaluation;planned
312/proceedings-04,"H. Roßnagel, C. H. Schunck, S. Mödersheim (Hrsg.): Open Identity Summit, Lecture Notes in Informatics (LNI), Gesellschaft für Informatik, Bonn 2021 47 Decentralized Identities for Self-sovereign End-users (DISSENS)",312,product_result,projektdefinition;anforderungen;entwurf;implementierung;deployment_betrieb,full_stack_application;plugin_extension;library_package,c_cpp;javascript_web,usability_study
lni360/B8-2,Kind Controllers and Fast Heuristics for Non-Well-Separated GR(1) Speciﬁcations,lni360,formal_verification,entwurf;implementierung;testen_qualitaetssicherung,library_package,java_jvm,benchmarking
lni220/1821,"Encapsulated Models for Reasoning and Decision Support Ivana ˇCaˇce1, John-Jules Ch. Meyer1,2, C.R.C. Pieterman3, G.D. Valk3 1 Alan Turing Institute Almere",lni220,datenanalyse,entwurf;implementierung;testen_qualitaetssicherung,numerical_mathematical,r_lang,performance_evaluation
lni225/97,Difference-based Conformance Checking for Ecore Metamodels,lni225,proof_of_concept_product,entwurf;implementierung,plugin_extension,java_jvm,testing
lni216/237,D-VITA: A Visual Interactive Text Analysis System Using Dynamic Topic Mining,lni216,visualisierung_dissemination,entwurf;implementierung;deployment_betrieb,full_stack_application,java_jvm;javascript_web;sql_db,performance_evaluation;planned
lni103/172,Change Management in Large Information Infrastructures – Representing and Analyzing Arbitrary Metadata,lni103,product_result,entwurf;implementierung;deployment_betrieb,middleware_service,java_jvm;xml_xsd,performance_evaluation
lni71/GI-Proceedings.71-13,From greedy to branch & bound and back: Assessing optimization strategies for incremental construction molecular docking tools,lni71,proof_of_concept_product,entwurf;implementierung,numerical_mathematical,insufficient_information,benchmarking;performance_evaluation;alternatives_comparison
lni55/GI-Proceedings.55-17,Workﬂow Management for Grid Computing – A Grid Workﬂow Infrastructure,lni55,product_result,projektdefinition;anforderungen;entwurf;implementierung,domain_specific_language;middleware_service,java_jvm;xml_xsd,testing
lni361/BTW2025-50,Generating Federated REST API Servers,lni361,product_result,implementierung;deployment_betrieb,middleware_service,insufficient_information,conceptual_evaluation
lni144/257,GEM: A Generic Visualization and Editing Facility for Heterogeneous Metadata,lni144,product_result,entwurf;implementierung,full_stack_application;domain_specific_language,java_jvm;sql_db,performance_evaluation
lni306/BIOSIG_2020_paper_4_update,"A. Br¨omme, C. Busch, A. Dantcheva, K. Raja, C. Rathgeb and A. Uhl (Eds.): BIOSIG 2020, Lecture Notes in Informatics (LNI), Gesellschaft f¨ur Informatik, Bonn 2020 Application of afﬁne-based reconstruction to retinal point patterns",lni306,datenanalyse,implementierung;testen_qualitaetssicherung,analysis_pipeline,r_lang,testing;empirical_study
lni52/GI.-.Proceedings.52-53,,,product_result,entwurf;implementierung,full_stack_application,java_jvm,insufficient_information
lni331/B1-7,The Easiest Way of Turning your Relational Database into a Blockchain — and the Cost of Doing So,lni331,product_result,entwurf;implementierung;testen_qualitaetssicherung,middleware_service;plugin_extension,go;sql_db,benchmarking;performance_evaluation
lni279/B1-65,Comprehensible Decisions in Complex Self-Adaptive Systems,lni279,proof_of_concept_product;formal_verification,entwurf;implementierung;testen_qualitaetssicherung,insufficient_information,insufficient_information,insufficient_information
lni93/GI-Proceedings-93-4,An Access Control Protocol for Peer-to-Peer Applications using Asymmetric Cryptography,lni93,proof_of_concept_product,entwurf;implementierung,library_package,java_jvm,performance_evaluation
