id,dimension,new_suggestion,certainty,explanation
lni109/560,software_type,vr_application,0.6,"Die 'Virtuelle Sitzkiste' umfasst sowohl Visualisierung (Frontend) als auch Interaktion (Backend), was auf eine Full-Stack-Anwendung hindeutet. Da es sich um eine VR-Anwendung handelt, könnte auch eine spezifischere Kategorie wie 'vr_application' passen."
lni109/560,techstack,vr_technologies,0.5,"Der Techstack wird nicht explizit genannt, aber es ist wahrscheinlich, dass VR-spezifische Technologien (z.B. Unity, Unreal Engine, VR-Hardware-SDKs) verwendet wurden. Daher könnte eine neue Kategorie wie 'vr_technologies' sinnvoll sein."
lni13/13_AdmitoLithUni,techstack,internet_technologies,0.7,"Die Publikation erwähnt explizit die Nutzung von Internet-Technologien und Web-Anwendungen sowie Datenbanken (zentrale DB, Replikation). Konkrete Programmiersprachen werden nicht genannt, aber die Verwendung von Web-Technologien (z.B. dynamische Webseiten, Authentifizierung) und SQL-Datenbanken ist naheliegend. Eine genauere Spezifikation des Techstacks fehlt jedoch."
lni134/602,software_type,ontology_based_tool,0.8,"Die Software basiert auf der CMO-Ontologie und dem JENA-Framework und wird als wiederverwendbares Tool zur Modellinterpretation beschrieben. Sie ist technisch eher eine Bibliothek oder ein Paket, das in andere Systeme integriert werden kann, könnte aber auch als 'ontology_based_tool' präziser beschrieben werden."
lni134/602,techstack,semantic_web_technologies,0.9,"Die Software nutzt das JENA-Framework, das in Java implementiert ist (JVM). Zudem werden Semantic-Web-Technologien wie OWL-DL verwendet, die hier als 'other_unspecified' kategorisiert werden, aber präziser als 'semantic_web_technologies' benannt werden könnten."
lni175/773,software_type,configuration_system,0.7,"Die Software umfasst sowohl eine grafische Benutzeroberfläche (Editor) als auch eine Backend-Logik zur Verarbeitung von Konfigurationsregeln. Sie basiert auf der Eclipse Rich Client Platform (RCP) und nutzt OSGi für Modularisierung, was auf eine Full-Stack-Anwendung hindeutet. Da die Software jedoch stark auf Konfigurationssysteme spezialisiert ist, könnte eine präzisere Kategorie 'configuration_system' sinnvoll sein."
lni194/179,methodology,design_based_with_agile_elements,0.6,"Die Beschreibung deutet auf eine iterative Entwicklung hin (z.B. Pilotumsetzung, modulare und serviceorientierte Architektur), was auf agile Methoden schließen lässt. Allerdings wird auch der Design-Science-Ansatz angesprochen, da das Portal selbst als Forschungsbeitrag zur Lösung eines praktischen Problems dient."
lni220/220,techstack,php,0.8,"Die Software verwendet JavaScript/HTML für die App-Oberfläche, SQL für die Datenbank und PHP für die serverseitige Logik. PHP ist hier als neue Subkategorie vorgeschlagen, da es nicht in den vorgegebenen Kategorien enthalten ist."
lni337/07_04_04_Barenkamp,software_type,data_science_script,0.7,"Die Software scheint aus Skripten zu bestehen, die für die Merkmalsextraktion, Datenvorverarbeitung und Prognose verwendet werden. Es handelt sich um keine Full-Stack-Anwendung oder Bibliothek, sondern um spezifische Analyseskripte, möglicherweise in Python."
lni49/GI.Proceedings.49-74,methodology,prototypengetriebene_fachanpassung,0.7,"Die Entwicklung erfolgte iterativ und prototypengetrieben, angepasst an fachliche Anforderungen (z.B. benutzerfreundliche Eingabemasken, Reduktion des Funktionsumfangs). Es gibt Hinweise auf agile Elemente, aber kein explizites Framework wie Scrum."
lni49/GI.Proceedings.49-74,software_type,mobile_geodatenerfassungs_anwendung,0.8,"Die Lösung basiert auf ArcPAD (einem mobilen GIS) und wurde durch benutzerdefinierte Erweiterungen (Eingabemasken, Kartierverfahren) angepasst. Dies entspricht technisch einer Plugin-Erweiterung, ist aber stark auf die mobile Datenerfassung zugeschnitten."
lni49/GI.Proceedings.49-74,techstack,esri_arcpad_arcgis,0.8,"Die Software nutzt ESRI ArcPAD und ArcGIS, inklusive ArcPAD-Studio für die Entwicklung. Spezifische Programmiersprachen werden nicht genannt, aber die Technologie ist GIS-spezifisch."
lni50/GI-Proceedings.50-21,software_type,protocol_implementation,0.8,"Die Software stellt eine Implementierung eines Netzwerkprotokolls dar, das als Bibliothek oder Paket in Simulationsumgebungen oder reale Systeme integriert werden könnte. Da es sich um ein Protokoll handelt, wäre 'protocol_implementation' eine präzisere Kategorie, die jedoch nicht in den Seed-Kategorien enthalten ist."
lni50/GI-Proceedings.50-21,techstack,network_simulation_tools,0.7,"Der Techstack wird nicht explizit genannt, aber die Evaluation erfolgte mit dem Simulator GloMoSim, was auf den Einsatz von Netzwerksimulationswerkzeugen hindeutet. Da keine Programmiersprache spezifiziert ist, wird 'other_unspecified' gewählt, mit dem Vorschlag 'network_simulation_tools' als neue Kategorie."
lni68/GI-Proceedings.68-133,methodology,prototypengetrieben_design_science,0.7,"Die Entwicklung des prototypischen Systems und die iterative Untersuchung unter verschiedenen Bedingungen deuten auf eine agile oder prototypengetriebene Methodik hin, die dem Design-Science-Ansatz ähnelt."
lni68/GI-Proceedings.68-133,software_type,graphenbasierte_analyse_software,0.8,"Die Software nutzt graphbasierte Algorithmen und Clustering-Verfahren, was auf eine numerisch/mathematisch fokussierte Software hindeutet. Allerdings könnte auch eine spezifischere Kategorie wie 'graphenbasierte Analyse-Software' passen."
