id,dimension,new_suggestion,certainty,explanation
lni123/150,techstack,unspecified_data_processing_tech,0.5,"Der Text erwähnt keine spezifischen Programmiersprachen oder Technologien. Die Algorithmen werden im Pseudocode dargestellt, was keine Rückschlüsse auf den tatsächlichen Techstack zulässt. Daher ist die Unsicherheit hoch, und es wird eine neue Subkategorie vorgeschlagen, um dies zu kennzeichnen."
lni122/LNI-122-Proceedings-komplett,research_position,research_infrastructure_support,0.9,"Die Publikation beschreibt ein System (ASKME), das primär die Unterstützung von Software-Entwicklungsprozessen in verteilten agilen Teams zum Ziel hat. Es dient der Kommunikation und Awareness unter Entwicklern und ist damit eine Infrastruktur für Forschungs- und Entwicklungsprojekte (vgl. Abschnitt 5: 'ASKME, ’Awareness Support Keeping Messages Environment’')."
lni279/B1-65,software_type,formal_verification_framework,0.8,"Die Software umfasst eine Bibliothek von Adaptionsregeln (library_package) und ein Framework zur Simulation/Modellierung selbstadaptiver Systeme (simulation_framework). Da die formale Verifikation ein zentraler Bestandteil ist, wird zusätzlich 'formal_verification_framework' als neue Subkategorie vorgeschlagen."
lni106/101,techstack,sysml_uml_tools,0.5,"Explizit wird SysML als Modellierungssprache genannt, jedoch keine konkrete Programmiersprache oder Technologie für die Implementierung des Testfallgenerators. Da SysML auf UML basiert und oft mit UML-Werkzeugen umgesetzt wird, könnte eine neue Subkategorie 'sysml_uml_tools' sinnvoll sein, um solche Modellierungswerkzeuge abzudecken."
lni177/168,techstack,business_process_management_tech,0.3,"Der Techstack wird nicht explizit genannt. Die Plattform nutzt BPEL/BPMN für Prozessmodellierung (Abschnitt 2.1) und Data-Mining-Algorithmen (Abschnitt 3.2.2), aber konkrete Programmiersprachen (z.B. Java, Python) oder Technologien (z.B. SQL) sind nicht belegt. Die vorgeschlagene Subkategorie 'business_process_management_tech' würde die domänenspezifischen Technologien abdecken."
lni125/113,software_type,simulation_framework,0.7,"Die Software umfasst numerische und algorithmische Komponenten zur Simulation von Pflanzenwachstum (z.B. L-Systeme, prozedurale Modellierung), was über eine reine 'numerical_mathematical'-Kategorie hinausgeht. Zudem wird ein Baukastensystem (Xfrog) erwähnt, das als Plugin/Erweiterung für bestehende Systeme (z.B. CINEMA 4D, MAYA) fungiert. Daher wird 'simulation_framework' als neue Subkategorie vorgeschlagen."
lni52/GI.-.Proceedings.52-4,software_type,authoring_tool_framework,0.8,"Die Publikation beschreibt verschiedene Werkzeuge, darunter Plugins für MS Word (Abschnitt 3.2), eine Full-Stack-Anwendung (z. B. OpenOffice.org als integrierte Autorenumgebung, Abschnitt 3.2) sowie XML-basierte Datenaustausch-Standards (z. B. LMML, SMIL, MathML, Abschnitt 1). Die Werkzeuge sind jedoch primär als Framework für das Authoring von Lehrmaterialien konzipiert, was über die bestehenden Kategorien hinausgeht."
lni331/B1-7,techstack,go,0.95,"Die Implementierung nutzt Go (Tendermint Core ist in Go geschrieben, vgl. Abschnitt 3.2 und 3.3) sowie SQL-Datenbanken (PostgreSQL/MySQL) für die Backend-Integration. Die Treiber pgx und go-sql-driver/mysql werden explizit genannt (Abschnitt 3.3). Andere Technologien wie Docker werden für den Betrieb genutzt, sind aber nicht Teil des Techstacks der Forschungssoftware selbst."
lni12/8,research_position,research_infrastructure_support,0.9,"Die Software dient primär der Unterstützung von Software-Entwicklungsprozessen, insbesondere der Integration von Analysemustern in CASE-Tools wie Rational Rose. Dies entspricht einer Infrastruktur für Forschungs- und Entwicklungsprojekte, da sie die systematische Nutzung von Mustern in der Modellierungsphase ermöglicht (vgl. Abstract und Abschnitt 3)."
lni368/infos2025_wi_1,software_type,questionnaire_instrument,0.7,"Das CIML ist ein Fragebogeninstrument, das kontextuelle Einleitungen, Fragen mit Multiple-Choice- und Single-Choice-Formaten sowie Piktogramme umfasst. Es ist webbasiert verfügbar (siehe OSF-Link) und kann als Full-Stack-Anwendung klassifiziert werden, da es sowohl inhaltliche als auch technische Komponenten (z. B. Auswertung) integriert. Allerdings passt 'full_stack_application' nicht perfekt, da es sich primär um ein Erhebungsinstrument handelt. Eine spezifischere Kategorie wie 'questionnaire_instrument' wäre passender."
lni368/infos2025_wi_1,techstack,questionnaire_implementation_tool,0.0,"Der Text erwähnt keine spezifischen Programmiersprachen oder Technologien für die Implementierung des CIML. Es wird lediglich auf eine webbasierte Bereitstellung hingewiesen (OSF-Link), aber keine Details zum Techstack genannt. Eine neue Kategorie wie 'questionnaire_implementation_tool' könnte die Art der Umsetzung besser beschreiben."
