dimension,candidate_key,source,frequency,seed_description,example_ids,example_explanations
research_position,datenerhebung,seed,3,"Datenerhebung / data acquisition (z.B. Sensorik, Crawler, Logging, Erhebungsinstrumente).",,
research_position,datenanalyse,seed,9,"Datenanalyse / data analysis (z.B. Statistik, Auswertung, Machine-Learning-Pipelines).",,
research_position,simulation_modellierung,seed,3,"Simulation oder Modellierung / simulation or modelling (z.B. numerische Modelle, Agentenmodelle).",,
research_position,human_facing_intervention,seed,6,"Mensch-zugewandte Intervention / human-facing artifact (z.B. ein System, mit dem Versuchspersonen interagieren).",,
research_position,visualisierung_dissemination,seed,0,"Visualisierung oder Dissemination / visualization or dissemination (z.B. Dashboards, interaktive Abbildungen).",,
research_position,infrastruktur_tooling,seed,14,"Infrastruktur oder Tooling / infrastructure or tooling (z.B. Frameworks, Build-/Workflow-Werkzeuge für andere Forschende).",,
methodology,design_based,seed,6,"Design-based / Design-Science: das Artefakt selbst ist der Forschungsbeitrag, iterative Gestaltung und Evaluation.",,
methodology,classical_se,seed,19,"Klassisches Software Engineering: Anforderungsanalyse, Architektur, Test (plangetrieben).",,
methodology,agile,seed,3,"Agile/iterative Entwicklung (z.B. Scrum, prototypengetrieben).",,
methodology,data_science_pipeline,seed,4,Data-Science-/ML-Pipeline: Daten -> Modell -> Evaluation als zentraler Workflow.,,
methodology,ad_hoc_scripting,seed,2,Ad-hoc-Skripting: pragmatische Einzweck-Skripte ohne expliziten Entwicklungsprozess.,,
methodology,formal_methods,seed,1,"Formale Methoden: Spezifikation, Verifikation, beweisgestützte Entwicklung.",,
methodology,formal_theoretical_analysis,suggested,1,,lni128/17,"Die Entwicklung der Algorithmen basiert auf formalen Beschreibungen und theoretischen Modellen (z.B. First-Order-Logic, NP-Vollständigkeit). Es gibt Hinweise auf eine systematische Vorgehensweise, die an klassisches Software Engineering erinnert, allerdings mit starkem Fokus auf theoretische Fundierung."
methodology,commercial_software_adaptation,suggested,1,,lni158/23,"Die Methodik ist nicht explizit beschrieben, aber die Nutzung des 'RiskOptimizer' deutet auf eine plangetriebene Vorgehensweise hin, bei der kommerzielle Software für den spezifischen Forschungszweck angepasst wird. Dies könnte als Anpassung kommerzieller Software klassifiziert werden, was nicht direkt in den Seed-Kategorien enthalten ist."
methodology,database_integrated_development,suggested,1,,lni220/434,"Die Entwicklung von EXAPowerlytics scheint auf klassischen Software-Engineering-Prinzipien zu basieren, insbesondere der Integration von Programmiersprachen in SQL und der Unterstützung massiv-paralleler Berechnungen. Allerdings ist die Methodik stark auf die Integration in eine Datenbankumgebung ausgerichtet, was eine spezifischere Kategorie nahelegt. Die vorgeschlagene Kategorie 'database_integrated_development' könnte diese Besonderheit besser abbilden."
methodology,standardization_driven,suggested,1,,lni318/swm2021-11,"Die Entwicklung von HUSST folgt einem strukturierten Ansatz mit Anforderungsanalyse (z.B. Tarifelemente), Architekturdefinition (XML-Schemata, SQL-Datenbanken) und iterativer Weiterentwicklung. Dies ähnelt klassischem Software Engineering, ist aber stark von Standardisierungsprozessen geprägt. Eine neue Subkategorie 'standardization_driven' könnte dies besser abbilden."
methodology,model_driven_optimization,suggested,1,,lni327/PVM2022_5,"Die Entwicklung des Optimierungsmodells folgt einer strukturierten, modellgetriebenen Vorgehensweise, die Elemente des klassischen Software Engineerings (z.B. Anforderungsanalyse, formale Modellierung) mit mathematischer Optimierung verbindet. Eine präzisere Kategorie könnte 'modellgetriebene Optimierung' sein."
